"region","name","alpha_admission","alpha_D","alpha_death_hosp","alpha_H","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta4","beta5","beta6","beta7","beta8","beta9","mu_D","mu_D_2","mu_D_3","mu_D_4","mu_D_5","mu_gamma_H","mu_gamma_H_2","mu_gamma_H_3","mu_gamma_H_4","p_G_D","p_G_D_2","p_H","p_H_2","p_H_D","p_ICU","p_ICU_2","p_ICU_D","p_NC_15_24","p_NC_25_49","p_NC_50_64","p_NC_65_79","p_NC_80_plus","p_NC_weekend_15_24","p_NC_weekend_25_49","p_NC_weekend_50_64","p_NC_weekend_65_79","p_NC_weekend_80_plus","p_W_D","rel_p_D_alpha","rel_p_D_delta","rel_p_D_omicron","rel_p_H_alpha","rel_p_H_delta","rel_p_H_omicron","rel_p_ICU_alpha","rel_p_ICU_delta","rel_p_ICU_omicron","rho_pillar2_tests","seed_date_alpha","seed_date_delta","seed_date_omicron","start_date","ta_alpha","ta_delta","ta_omicron"
"east_of_england","alpha_admission",0.000224843597278097,0.00139356034942349,0.000141949498283638,-4.47887980992723e-05,-2.94281543656837e-05,-8.81885051774482e-06,1.14393258926792e-06,-7.8864646539237e-07,-1.10583855948101e-07,-1.49634708119753e-05,3.28934975300839e-05,-2.45377266635979e-06,4.41186753112312e-06,1.75056926429991e-05,-8.64342243117391e-06,0.000162358135409942,2.65187513384507e-05,-2.45723979630666e-05,5.19505380912157e-05,6.24402847948615e-06,3.56261362033651e-06,1.06789873161057e-05,1.97597005500697e-06,2.96525720289783e-05,-1.18006299457417e-05,2.55874624170087e-05,-1.39274114712096e-05,3.25537982555819e-06,1.80595103752203e-05,-8.83237479740157e-06,1.95146039137743e-05,-2.41484841981859e-05,2.66337174381475e-05,-3.60447353556872e-05,4.83581543125449e-06,-8.9237272250526e-07,-1.44402508836561e-05,2.84959650757551e-05,-2.69581024860764e-05,-4.39494631472527e-06,0.00152084673133047,9.33562827704063e-05,-9.60425713109712e-05,0.000303801902153273,0.000559654744504459,0.00103201414533839,0.000164852043400391,-9.38404973606439e-05,0.000125383658011787,-0.000380096066741067,2.25607837326794e-05,0.000280720385841182,0.000408669069567037,-0.000590265650094855,0.000236755602581042,-8.55991717821354e-05,-0.00111908316626883,3.63986105572332e-07,-4.83394217167228e-07,-1.7744314791754e-06,-4.74803117224769e-07,-5.44061640984872e-06,1.60365096047081e-06,2.16203878339027e-06,-6.56242426820265e-07,4.52573515441134e-07,-2.260758744866e-06,-0.000118759544177426,0.000865396961731576,-0.000803201356020181,9.37131105976759e-06,-0.00130397194905322,0.000215838482813613,0.000364831592452553,0.000841452931722402,-0.000492210135675864,-0.000140321324516618,-1.01624337006638e-06,-0.0156505107070057,-0.00320146505253536,0.00105723956206736,-0.00133733208410588,-0.000242695043877869,-0.000132192483424688,7.10626550607858e-05
"east_of_england","alpha_D",0.00139356034942349,0.0165616028928502,0.000900677550756681,-0.000253259650344479,-0.000212698459243356,-0.000121743358379926,9.07477004816074e-05,-0.000111035241298087,9.28896005625614e-05,-0.000223936530418589,0.000247336953843213,-1.10934591510896e-05,6.2581186801374e-06,9.97358080970016e-05,2.83688218658368e-05,0.000799866282901988,0.00017515717539468,-0.000236671221037512,0.000482847705579004,-4.70893183836596e-05,1.63572277811395e-05,5.30244303854638e-05,1.74649494378657e-05,0.000195833980377309,-0.000229700045531272,0.000305422193230928,-6.79584924559752e-05,-4.55354330677366e-05,0.000102368752844356,-2.69973172786335e-05,0.000125056981950602,-0.000114427931835958,0.00018392258887212,-0.000241556331313364,4.01443011156221e-05,-4.72012194814338e-05,-9.77306996223539e-05,0.000285214130240107,-0.000388924437347411,7.44181934090519e-06,0.00766816966318537,0.00221690411712475,-7.53817493256485e-05,0.00071484682818133,0.00445332885917527,0.00395480286135623,0.0018141772722625,-0.00191354256587709,-0.00048905968321016,-0.00448115878550116,0.000157211293470481,0.00377442497179656,0.00524232373296708,-0.00666634395207158,0.0032475718337115,-0.00119214300374556,0.00110293205821716,-7.32486957841189e-06,-3.90820294799821e-06,-1.33478108675899e-05,-1.58012733765165e-05,-3.83748478465908e-05,1.74018074175312e-05,1.13385396288256e-05,-5.51914360922504e-06,-3.63138679979965e-06,-7.10207190658091e-06,0.0016497905553655,-0.00277745863869756,-0.00468098185753338,-0.00119649032223845,-0.0121595869480529,0.00273109909399706,0.00112105609832449,0.0111984828589522,-0.00993733043237228,-0.000585305426818567,1.96846454765228e-05,-0.10918985208211,0.0912970884479644,-0.0258305221219726,-0.000557909338989729,-0.00210302559169284,-0.000715344434468172,-6.20242632232996e-05
"east_of_england","alpha_death_hosp",0.000141949498283638,0.000900677550756681,0.000308601333983338,-8.00385738106244e-06,1.24278790186952e-06,-9.19026505696862e-06,-8.52338641773522e-06,-5.04269642766003e-06,9.41382754506885e-06,-1.37389553331986e-05,2.24152193321073e-05,3.95465897712684e-06,1.78729144808005e-06,1.2374581142089e-05,5.17060460944329e-06,2.96794388595589e-05,1.77416560204685e-05,-2.16732685162624e-05,4.24213428610308e-05,2.10612638760155e-05,-3.14912485369544e-06,9.02395718080419e-06,2.00787439225054e-06,1.30935334849253e-05,-8.70045111789179e-06,2.75119601574752e-05,-9.94133216486468e-08,-1.70763815305397e-07,7.73625490056758e-06,2.39818253770236e-06,8.09604741522591e-06,-4.56557213434584e-06,4.00261032306444e-05,-7.70520647508745e-05,2.41286199594201e-06,-1.30802349144284e-05,4.56056796316076e-06,2.11440720929178e-05,-2.572053291469e-05,-6.50858726574649e-06,0.000359488278069107,-0.000272019720190279,-0.000506334295610502,-0.000115101527066906,8.38830951060364e-05,0.000967274233174065,-0.000435160593457136,-7.6483336804747e-05,-7.27375227587736e-05,-0.00031752379826568,-4.00314855868685e-05,0.000321077218576299,0.00081010706171014,-0.000419205222828887,0.000250697572611408,-0.000134331669870416,0.000259601411243855,-7.04038350759391e-07,2.73521964231756e-07,-3.23284790079107e-06,-8.08944353843696e-07,-2.43255923139971e-06,1.23395577514456e-06,2.46079875205894e-06,-2.43363954932879e-08,-1.08327220802667e-07,-1.27975468269193e-06,-0.000648808412632472,0.00106560547751928,-0.000833310571338643,-4.44733989075204e-05,-0.000689557424293871,0.000171969404167694,-0.000262637864588376,0.00113508605100903,-0.00111026794157725,-6.65373758315363e-05,-1.95268494742958e-06,-0.0214226809556457,0.0126491554515583,-0.00239417291058119,0.00594836453496615,-0.000372963001074361,6.92429898952308e-05,3.64729777367064e-05
"east_of_england","alpha_H",-4.47887980992723e-05,-0.000253259650344479,-8.00385738106244e-06,2.70814805795209e-05,2.03243255738445e-05,-1.81787243731433e-06,3.37546271146343e-06,-4.26137396000678e-06,3.10161685171747e-06,5.22811129801587e-06,-9.14133270964201e-06,2.37795821226966e-06,-2.07885288008662e-06,-4.19517221249075e-06,3.27867589562959e-06,-7.33760061010065e-05,-5.77533727043056e-06,6.3843649432115e-06,-1.68275351340091e-05,8.44968444293932e-06,5.15901450229607e-07,-2.80011740151521e-06,3.59099856716015e-06,-1.25016750448084e-05,8.41690331689655e-06,-4.45151968280127e-06,4.05346062304248e-06,1.07584130969241e-06,-4.38849739996901e-06,3.57911639325096e-06,-9.4163983220373e-06,1.04944523940792e-05,3.703776396265e-06,-1.57102418608866e-05,1.68069449313244e-07,-5.59540515062499e-06,6.8426977144406e-06,-1.57038873349325e-06,4.83279578390513e-07,2.14051378980948e-06,-0.000529439741293984,-0.000137039106515635,-9.35056048322633e-06,-0.00022732420955902,-0.000251247114835297,-0.000343514086352711,-0.000208094086243079,0.000100223389713906,-4.63703771344714e-05,6.20262737812944e-05,-1.62848063094483e-05,-5.62804383755513e-05,0.000109764338026778,0.000224241223011995,-2.12261427124807e-05,-8.34457735743258e-06,0.000407604878401347,-2.99473795652832e-07,6.45163108471925e-07,-5.91959396096291e-07,-5.43554185690527e-08,2.30321400392881e-06,-5.57660165457876e-07,8.66806365582682e-08,1.65167162525263e-08,-3.60271226903338e-07,6.72703842994486e-08,-0.000413627448073843,-0.000333268444369726,0.000271231817634977,-5.49669422142708e-05,0.000466123144243192,-9.12755527003055e-05,-0.000222513630742037,3.03744663662412e-06,-2.86436766421212e-05,5.28825935617429e-06,-7.03365242511594e-07,0.00178555179456783,0.000229161180768639,-0.000434950766212632,0.00352733361712508,7.26856349828251e-06,1.87161937243001e-05,3.89805248357989e-05
"east_of_england","beta1",-2.94281543656837e-05,-0.000212698459243356,1.24278790186952e-06,2.03243255738445e-05,2.29516272794914e-05,-1.48850840648853e-06,2.79806719660453e-06,-2.69708213699551e-06,1.82684454593732e-06,4.43644100198051e-06,-5.87105990086918e-06,1.96734091155253e-06,-1.30110206834862e-06,-2.33960785316792e-06,1.60926704750027e-06,-5.58355994428935e-05,-4.41260885059452e-06,5.24217380243476e-06,-1.69933439599208e-05,1.10310070768782e-05,-3.88061223958149e-07,-1.83855434245853e-06,2.98384174472723e-06,-1.05736949010333e-05,9.18823184278559e-06,-5.32782745627539e-06,2.49211749910255e-06,2.33413034187755e-06,-3.42636764606932e-06,6.16288265237009e-07,-8.01541143144692e-06,6.3827677002735e-06,4.41835185812388e-06,-1.77423674436512e-05,3.86701828892966e-07,-5.36429309952298e-06,6.01934213949802e-06,-6.37429890764125e-07,9.93361735740393e-07,1.15091063626433e-06,-0.000327289039228197,-0.000147231737329361,-1.58264040248039e-05,-0.000199952834633486,-0.000281849030107109,-0.00022736258301998,-0.000174971245948978,8.89517482800714e-05,-2.31206058987671e-06,5.17396153617601e-05,-2.08945327899791e-05,-5.86653492459776e-05,5.54259731829113e-05,0.000177264095841352,-2.29286280254107e-05,-9.31291731684146e-06,0.000141747844104005,-1.74970472767217e-07,7.92042313059418e-07,-5.31386162281656e-07,3.91077218013316e-09,2.39113608316267e-06,-4.66969608471979e-07,2.71405780483436e-07,-5.21166154064235e-09,-2.63095607107426e-07,-1.07206843820866e-07,-0.000435687972176121,-5.64741434724966e-05,0.000252428679900308,1.74621017052783e-05,0.000427481663073714,-0.000132331919678449,-0.000126000085757122,4.3258208210736e-06,2.47643370170713e-05,3.71043630739065e-06,-1.09515023605557e-06,0.000734837127424121,-0.000949200441318546,0.000143085052323854,0.00502501836709402,-6.61221186825163e-06,3.93408904214933e-05,5.88541977919841e-05
"east_of_england","beta10",-8.81885051774482e-06,-0.000121743358379926,-9.19026505696862e-06,-1.81787243731433e-06,-1.48850840648853e-06,3.09062291466265e-06,-3.78460403604056e-06,2.61102882283056e-06,-1.38282369426004e-06,1.00527063821702e-06,-1.26573687953105e-06,-2.83370114936551e-07,3.65979304842369e-07,-7.25885461705686e-07,-1.37113325378784e-07,-4.43230079829044e-06,-1.07462228093487e-06,1.79697423518296e-06,-1.84894923950703e-06,-1.89979872857742e-06,-6.80855112613034e-07,2.25041900621768e-07,-1.29885479582928e-06,1.01203425308312e-06,-2.33290528313002e-07,-1.59651109710161e-06,1.06607485653072e-06,8.54501021249809e-08,-1.61507237501103e-07,-2.59817086740298e-07,8.84813111768961e-07,-7.15728264843233e-07,-3.36940964666039e-06,7.07491686646928e-06,-1.01389755210829e-06,1.89391105991144e-06,3.90589726802647e-07,-3.91465923071102e-06,5.0255479730499e-06,-1.68731750102086e-06,-1.05326541590547e-05,9.82812033316704e-06,-1.07715706809588e-05,1.85212982382583e-05,-4.84209553676119e-06,-2.50658966337014e-06,7.35734332146107e-06,-3.34501948907216e-06,-4.69060111638267e-06,4.45960403052699e-05,-2.20390108636611e-06,-2.90730892180891e-05,-8.85687338703882e-05,1.65889240905353e-05,-3.34496552814193e-05,1.89098425960483e-05,-3.16723848512613e-05,5.8695763489299e-08,-1.42202776917771e-07,4.46162232158723e-07,1.2877085710212e-07,-8.80330429331138e-08,-2.31169685628771e-08,-2.39414455820776e-07,1.13126141974859e-07,1.01960143513029e-07,1.77271860403417e-07,0.000103189593489208,7.70532216384078e-05,2.04196015951726e-05,7.35090449441438e-06,6.07250826526308e-05,-2.19112657936497e-05,3.70868013159517e-05,-0.000155480013387406,8.10974843012224e-05,1.3375732113477e-05,1.96050842815228e-07,0.000691493543124647,-5.7845012952833e-06,0.000130020250217022,-0.000921481833733385,1.93411125170828e-05,5.5935090786689e-06,-1.85175490478072e-05
"east_of_england","beta11",1.14393258926792e-06,9.07477004816074e-05,-8.52338641773522e-06,3.37546271146343e-06,2.79806719660453e-06,-3.78460403604056e-06,7.14595857136152e-06,-3.55213669940634e-06,9.27084088751723e-07,2.96717077499267e-07,-3.51134829371152e-07,9.7150126401145e-08,-6.75761124955804e-07,2.20812879073247e-07,-6.86271354165227e-07,5.71458354215233e-06,1.22074507844124e-07,-4.66116802256324e-07,-1.97498324375483e-06,1.27557883044169e-06,1.74493232651719e-06,-1.37287393965328e-06,2.06542278566218e-06,-3.29899174405543e-06,2.36657007758169e-06,-9.98633633051076e-07,-1.68083915608738e-06,2.56543436383025e-07,-5.40098878518399e-07,1.51112340709008e-07,-2.20672919089022e-06,1.36260682118952e-06,1.84787508975637e-06,-4.04420283095794e-06,1.33241561509422e-06,-1.71824791384609e-06,-9.71881241336066e-07,3.95796153920946e-06,-4.47672635865812e-06,2.61822507343412e-06,-1.01348890239906e-05,-7.15638593380114e-06,6.88320982983729e-05,-1.67537793004349e-05,-1.25301141510888e-05,-7.18690073163445e-05,3.9812896009332e-05,5.62622859967993e-06,2.67979922850345e-05,-3.76167628265498e-05,6.82322361093712e-06,6.51112022479798e-06,5.26196223011774e-05,1.67761836592306e-05,2.48471116677796e-05,-1.62041173586968e-05,-2.0459580184446e-05,2.7650344668286e-08,2.42028141594664e-07,-4.71119985666886e-07,-6.74834381987036e-08,3.71344738890003e-07,-9.73880635690106e-08,1.65656034223213e-07,-1.88548832824103e-07,-1.13218865220336e-07,-1.70907486842202e-07,-9.75299379758302e-05,-0.000166377499029077,4.81389784990428e-05,1.73015384170679e-05,6.18526139770568e-07,1.21228102825136e-05,-3.98652403233774e-05,0.000126780902705305,6.00159115417712e-06,-1.58856134261743e-05,-2.54768315484983e-07,0.000915091277927688,-0.0016754431808811,0.000157277796917437,0.00106574702295164,5.06298651499897e-06,-1.57454233366522e-05,3.09053556542749e-05
"east_of_england","beta12",-7.8864646539237e-07,-0.000111035241298087,-5.04269642766003e-06,-4.26137396000678e-06,-2.69708213699551e-06,2.61102882283056e-06,-3.55213669940634e-06,3.37716519680211e-06,-2.37076930679986e-06,1.46761558058732e-06,3.78539397684617e-08,-5.43699177684997e-07,7.72881484585517e-07,-1.1342365642075e-07,-1.24801779847103e-06,8.3695339951142e-06,-1.88194468772091e-07,1.41670590654225e-06,-1.344810134047e-06,-9.05209406326015e-07,-3.25240863336681e-07,5.81678185303907e-07,-1.16413201458835e-06,1.86982857204171e-06,8.33097844990365e-07,-2.08773605718061e-06,-1.19509721805236e-07,7.69297404151197e-07,6.08514010803604e-07,-1.00090415554457e-06,1.4514782374817e-06,-2.14324544073925e-06,-2.53554626456853e-06,6.0427728898054e-06,-6.50583874265012e-07,2.16684936480102e-06,-6.412899502588e-07,-3.15324480650057e-06,5.30119802911597e-06,-1.49640977243577e-06,7.59353885979986e-05,6.73242035281914e-06,-5.20092639545677e-06,3.96573275679954e-05,4.944587783141e-06,6.10005153385423e-05,1.90560236013205e-05,4.03080917652529e-06,1.6239665897124e-05,4.14909151174684e-05,2.40613219204111e-07,-3.35820058150185e-05,-9.71127281524129e-05,1.84552700899961e-05,-3.33140359374128e-05,1.86068928884257e-05,-0.000168974307912486,1.79837264345758e-07,-1.40743874986851e-07,3.42291447308298e-07,2.26424264486915e-07,-1.66015329801356e-07,-2.27672525826434e-08,-1.13132657530303e-07,7.8572987315242e-08,1.59896990014101e-07,4.68221572241373e-09,8.66939203835706e-05,0.000167134719740203,-1.63768493098379e-06,1.59121339265867e-05,3.33250651268492e-05,-2.047052274631e-05,6.53345917962454e-05,-0.000152244181345763,0.000125077565530145,4.11469337580618e-06,-1.55189336193362e-07,0.00031443255917759,-0.00125644033172182,0.00053614380574854,-0.000955825385904133,1.71139409484325e-05,-3.6047149815032e-07,-7.24132955562436e-06
"east_of_england","beta13",-1.10583855948101e-07,9.28896005625614e-05,9.41382754506885e-06,3.10161685171747e-06,1.82684454593732e-06,-1.38282369426004e-06,9.27084088751723e-07,-2.37076930679986e-06,2.70320176284031e-06,-2.48618837089661e-06,4.40296664478547e-07,6.01881176254499e-07,-5.42208129704813e-07,4.07140479727765e-08,1.99479652034121e-06,-1.44127881532816e-05,2.80193297780118e-07,-1.4294977027472e-06,2.88548814073613e-06,3.82564264996605e-07,-5.74955909367807e-07,8.57414144162589e-08,4.29290295813543e-07,-3.86284102032404e-07,-2.50981303460526e-06,3.37455197407201e-06,1.12788936469489e-06,-1.08136224776656e-06,-3.49582525352116e-07,1.14420549693621e-06,-4.76732788855695e-07,1.88086926254006e-06,1.86888560389837e-06,-4.52452334684494e-06,1.51659112278883e-08,-1.58388175084967e-06,1.11134605794573e-06,1.92580853416744e-06,-4.47259975267391e-06,6.46496387557338e-07,-6.93414433455882e-05,4.41521618725259e-06,-2.27429920532165e-05,-3.45915260500118e-05,1.2067994736303e-05,-3.65088264933094e-05,-3.82791289107717e-05,-1.18488117539254e-05,-3.464715965539e-05,-3.20284994222875e-05,-3.70325934601356e-06,3.96985116101977e-05,8.51983380413796e-05,-4.58348983468748e-05,2.7364967933729e-05,-1.42548902487561e-05,0.000225285635863102,-2.66321966455826e-07,2.51585569552591e-08,-1.19728688336809e-07,-2.59325733440339e-07,-3.01969866040045e-08,1.07923777003512e-07,1.93176228234125e-08,4.00065273125662e-09,-1.36329970722863e-07,6.70545970535089e-08,-5.48047683759769e-05,-0.000136500278255135,-1.82726405319597e-05,-3.22746485260404e-05,-5.18889100880462e-05,2.1961887685983e-05,-5.32366128394084e-05,0.000120657821952427,-0.000159137044857179,2.04479643488279e-06,4.57650879383349e-07,-0.000830933603681455,0.00258646744434113,-0.000793719455849029,0.00057611895295927,-2.53092187151873e-05,6.61885715783093e-06,-8.57848523515768e-06
"east_of_england","beta14",-1.49634708119753e-05,-0.000223936530418589,-1.37389553331986e-05,5.22811129801587e-06,4.43644100198051e-06,1.00527063821702e-06,2.96717077499267e-07,1.46761558058732e-06,-2.48618837089661e-06,6.2475748550314e-06,-3.65432491861154e-06,2.87813118889304e-07,-2.83631195759915e-08,-5.5092389364357e-07,-1.86989354437958e-06,-1.25776431389773e-06,-1.7483754624868e-06,3.8490947344212e-06,-9.09027141237882e-06,3.04709313297427e-06,1.37418510685597e-06,-1.02139701403013e-06,1.12066620330639e-06,-3.97105119519854e-06,7.04425739262729e-06,-5.8355224403238e-06,-8.05764921606531e-07,1.74745745927819e-06,-5.67700232630811e-07,-1.87588993403071e-07,-2.55329413561337e-06,1.43503741501608e-06,-1.09360638039553e-07,-2.04196111037882e-06,4.35989854706464e-07,-8.58369933178057e-08,7.16625335128284e-07,-2.84486475552854e-06,6.33841807324695e-06,-2.06051156662283e-07,-8.20224498306993e-05,-6.16082303028685e-05,1.8949419790328e-05,-3.79320918874443e-05,-0.000103231722869953,-3.41427423039555e-05,-2.97650388731931e-05,7.05006040157915e-05,3.82167457369481e-05,6.09363278268389e-05,2.57100874350772e-07,-7.52361100424831e-05,-4.51032761855157e-05,0.000166281377186552,-4.27310689636621e-05,1.45027455803493e-05,-0.000159396010750617,2.58850383667914e-07,1.77993161002834e-07,-1.82760928982616e-07,3.49455980410986e-07,7.12984342219861e-07,-3.73042842365049e-07,9.76340746932609e-08,-1.3546302511239e-08,5.52112549583815e-08,-2.37150071459067e-07,-0.000143543988713578,3.68837548484346e-05,0.00011409455919986,2.90417238458248e-06,0.000215828260948933,-5.26294148298178e-05,-2.40975058379783e-05,-0.000143270485392045,0.000221473189803724,-1.13047579565108e-05,-1.06725384673475e-06,0.00142395357807307,-0.00356347795142842,0.00101100610983806,0.000509071044406576,2.58702457687526e-05,-1.30824681653985e-06,2.67010389143747e-05
