"region","name","alpha_admission","alpha_D","alpha_death_hosp","alpha_H","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta4","beta5","beta6","beta7","beta8","beta9","mu_D","mu_D_2","mu_D_3","mu_D_4","mu_D_5","mu_gamma_H","mu_gamma_H_2","mu_gamma_H_3","mu_gamma_H_4","p_G_D","p_G_D_2","p_H","p_H_2","p_H_D","p_ICU","p_ICU_2","p_ICU_D","p_NC_15_24","p_NC_25_49","p_NC_50_64","p_NC_65_79","p_NC_80_plus","p_NC_weekend_15_24","p_NC_weekend_25_49","p_NC_weekend_50_64","p_NC_weekend_65_79","p_NC_weekend_80_plus","p_W_D","rel_p_D_alpha","rel_p_D_delta","rel_p_D_omicron","rel_p_H_alpha","rel_p_H_delta","rel_p_H_omicron","rel_p_ICU_alpha","rel_p_ICU_delta","rel_p_ICU_omicron","rho_pillar2_tests","seed_date_alpha","seed_date_delta","seed_date_omicron","start_date","ta_alpha","ta_delta","ta_omicron"
"east_of_england","alpha_admission",0.000616641997593676,-0.000186635311497499,0.000316409584780688,6.44473007153472e-06,6.31762419585549e-05,-2.68805273461344e-05,7.93636545235844e-06,1.31652053193383e-05,-2.33422200101164e-05,2.63365949852271e-05,1.19266199087743e-05,1.18553385730761e-05,1.12865773144989e-05,-2.59523594100675e-06,4.26695023904826e-05,8.22311622024893e-05,-2.17340274741379e-05,1.20342593957941e-05,-3.26245844836655e-05,9.04266673016777e-05,-6.74548870951052e-06,1.83473258311305e-06,6.70474085884926e-06,7.88822512645178e-06,-1.81829016714686e-05,2.47990113921444e-05,-3.51013044424759e-05,-1.7033730178921e-05,3.93076282252353e-05,-2.99359424961866e-06,-1.17973084442563e-06,4.34223582404114e-05,1.19236448826414e-05,8.41767885813582e-05,2.00900297243908e-05,-4.90454901435344e-05,4.31617549742932e-05,3.68560556037783e-06,-3.8866374393011e-05,5.14496371870036e-05,0.00167569107637919,-0.0011162948493812,-6.17024833372201e-05,-0.0002192947084597,0.000170793733075375,-2.65352718330422e-06,-0.00194520655762776,0.000360578921207852,0.000369111762615902,0.000526695382284147,0.00012900966455426,0.00018043469254774,-0.00103799557389827,8.08536671627736e-05,-0.000301141963530677,2.86452170677565e-05,-0.00166157590283211,-4.37385453982105e-06,-2.02193686749167e-06,-9.36611983916925e-08,-8.95479717810016e-07,1.24635307051857e-05,-4.190510100774e-06,1.82812990538186e-06,1.77499586439498e-06,1.00628428665638e-06,-4.0663855766833e-06,-0.000402475694290252,0.00382095724716095,5.09576796952806e-05,0.000395114497516588,0.000322558890935904,-0.00104803806284809,0.00014813786105298,-0.000503732123607647,0.00147635968472205,-0.000293852104013287,-1.5833398329025e-06,-0.0370093103782038,0.00591874948226876,-0.0138512671762714,0.0235425676147703,-0.000634877516578663,0.000312346100288386,-0.000521394538267982
"east_of_england","alpha_D",-0.000186635311497499,0.0102865463046482,-0.000158293263124258,-7.12120679831445e-05,-0.000201326521394854,0.000144569215691658,-0.000353572040969154,0.000176291786830457,9.13756276422651e-06,5.23924544159377e-05,2.9183786670023e-05,-1.8503954334818e-05,5.32635942796095e-05,-2.28989650407219e-05,-3.79673665845205e-05,0.000345228069546149,5.73344709926441e-05,-1.99238115510268e-05,0.000163712313712034,-3.5472797481198e-05,-2.05415231722524e-05,7.68582832868043e-05,3.46987429560243e-05,4.64101934188674e-05,-7.09143481519191e-05,8.93810813762557e-05,-1.25622756000655e-06,6.60422440599396e-05,5.77313507771657e-06,1.48136969663986e-05,5.28824112963565e-05,4.43102415996446e-06,-0.000143731795457609,0.000387838325292876,-7.64174399056795e-06,4.24387211273775e-05,-0.000102853153625899,3.90882533532351e-06,4.85517244068956e-05,-0.000102826380223712,-0.00417284482242527,-0.000746752722354617,-1.28338438823245e-05,-0.00164227636659769,-0.00232930854644601,-0.000238184135663391,-0.000518312086136503,0.00051747413759724,-0.000541412245541102,-0.000533176141574575,-9.50926584219776e-05,0.00051787932931852,-0.00322392907530587,0.00014674636812533,0.000211870799074565,0.000450428579743966,0.00188828788292603,3.68190884132034e-06,8.19187985037749e-06,1.22163408633295e-06,1.78702942009424e-07,1.33594520347069e-05,3.96303873830914e-06,-6.96386021353602e-06,-2.46261409506284e-06,-3.0761008166696e-06,1.92835418175647e-05,0.0100864232246565,-0.00397984480736568,0.00231930755408634,-0.00116725431572542,0.000531438227327863,-9.1878809693024e-05,0.00201463754648095,0.000304567490321811,-0.00277421010523312,0.00186057180892677,-2.50856997738408e-05,-0.0188537596029184,-0.0727219691515003,0.00598028711512355,-0.048055866763833,-0.0012070865183658,-0.000528461450361697,0.000510762923179244
"east_of_england","alpha_death_hosp",0.000316409584780688,-0.000158293263124258,0.00107416106195725,0.00012950362629471,-0.000101483339822781,-0.000107600314944463,-6.05493939990205e-06,7.06658458236731e-05,-9.16422317605928e-06,4.03175921124826e-05,2.24197781207947e-05,1.67286634478499e-05,-1.31241965271399e-06,1.01344309508626e-05,1.28397137490872e-05,9.64923313665828e-05,-1.16651637572057e-05,2.66374988657101e-05,4.86463386088284e-05,-4.98974524408711e-05,4.08335850982443e-05,3.13964879035476e-05,-2.2089087855978e-05,6.63299490810912e-05,1.0591210406509e-05,2.02607594671727e-05,-8.44361283164171e-06,3.35208475930922e-05,4.94676445145594e-05,-1.85299185463152e-05,-2.6380951891879e-05,6.82443955662197e-05,-5.87880374733998e-05,0.000145675214027773,8.21194318109593e-06,-1.62367368737288e-05,-6.64834108265438e-06,-9.83547527951592e-08,7.53674135535372e-06,9.0472804363983e-05,-0.000883405916981502,-0.000942610128019085,-0.000874186557597327,-0.00010797859695725,0.00149994673862821,-0.00147575728295237,-0.000202104738709925,0.00206773529693831,0.000362629937182365,0.000172028117217357,0.000179658233113976,0.000632876257184537,-0.00248763947930694,-0.00073471795898442,2.25550578440461e-05,7.61019430699227e-05,-0.0008943698845031,-4.67302678351756e-06,2.75790173493337e-06,2.41162175908885e-06,1.58076255412826e-06,2.46000881417134e-05,-9.13071765910078e-07,6.59364784325785e-06,5.31000704338648e-06,-3.87089334297168e-07,9.46457930756383e-06,0.00341134658139904,0.00446483355889388,-4.34584791546037e-05,-0.00115216310992387,-0.00270018916613885,-0.000582956721779693,0.00117215702675988,1.78002946806723e-05,0.00127359432467143,0.000173824488000355,-7.5891166652204e-06,-0.0163970441880475,-0.0704677792137274,0.00821517729128391,-0.0323218984392754,-0.000692293354155872,-0.000225434940178941,0.00043263200199351
"east_of_england","alpha_H",6.44473007153472e-06,-7.12120679831445e-05,0.00012950362629471,6.82833272505527e-05,-2.9709760529388e-05,-3.93580473163064e-05,2.23450810233585e-05,9.74716718854539e-06,3.26313050768131e-06,-2.86974085131075e-06,-1.06756850028619e-06,3.53675036311786e-08,-4.22285997472911e-06,-3.59163371789837e-06,-3.21327851632354e-06,-9.61116044489737e-05,-7.20269193280484e-06,6.31941447730675e-06,-6.21975920849475e-06,-3.57610610339496e-05,6.36679804307999e-06,5.93889312390699e-06,-1.64394309539768e-05,6.16005334301867e-06,-1.03269235582965e-05,-8.25181124280242e-07,1.90667070253982e-06,1.66430977070119e-06,-8.07499728015069e-06,2.24288750628051e-06,-8.64917322943739e-06,1.99810447682331e-05,-2.19699995036665e-05,2.67808019000864e-05,3.90172077083498e-06,-1.11119324880603e-05,1.60272864738596e-05,-8.31763194878984e-06,-2.8641659717673e-07,3.56535110340461e-05,-0.000137929110545526,-1.88593681172096e-05,-0.000228617051166637,0.000207492250244607,2.37257830879205e-05,-8.00207763832267e-05,0.000428722555269513,0.000505123316907273,-0.000119024095817011,2.74958046978094e-05,2.00582966794431e-05,7.17858214689616e-06,-0.00032257825350153,-6.11605080069565e-05,7.82908299975502e-05,5.78783769496191e-05,-0.000212916691776628,-1.31039772164236e-06,-2.43816634337393e-07,3.77444605094317e-07,6.52918778479505e-07,2.00218060796258e-06,-3.51986504545154e-07,1.60751696902232e-06,1.17372690805592e-07,-1.8846489049493e-07,2.18145111306663e-06,0.000771495386008187,0.000633363144361083,-0.00020393913940503,-2.77080748794343e-05,-0.000651359650199464,0.000433928339910112,0.000229610643261656,-0.000250533373074454,1.42196461663473e-05,3.32496278545817e-07,9.22232922472232e-07,0.0112705035073509,-0.017232609518208,-0.000888359048998985,-0.0182875099904643,0.000122776967064765,-6.12670854730705e-05,-8.2481561113538e-06
"east_of_england","beta1",6.31762419585549e-05,-0.000201326521394854,-0.000101483339822781,-2.9709760529388e-05,5.07187894345834e-05,1.91138059874835e-05,1.64071024539075e-05,-2.3713606308415e-05,-1.87405451810081e-06,-5.75762668326673e-06,-3.5984287365577e-06,4.07788752295524e-07,6.41676858211541e-07,-3.49018083550271e-07,1.13312760236329e-05,-2.34880494368497e-05,-4.2097522689762e-06,-3.0877941831723e-06,-3.28852244921137e-05,3.62574325866412e-05,-9.26885386673551e-06,-1.18671823842059e-05,7.23059427804285e-06,-1.36896470717841e-05,-9.99150564214263e-06,-1.95503620782534e-06,-6.68691928068101e-06,-1.35397439540518e-05,-2.74802308218218e-06,-4.45163728380009e-07,5.77850964204611e-06,-4.04506486787596e-06,1.36692526885913e-05,-1.16686852101439e-05,3.90364637101269e-06,-1.05890789027836e-05,1.78965252820453e-05,-6.17587139148325e-06,-6.84983520104132e-07,-1.56183975389754e-05,0.000616648076255054,-0.000118151502136652,0.000173385018859379,-4.8005732524725e-05,-9.5405162308714e-05,7.85041411312242e-05,-0.000333053108244399,-0.000452901020181283,6.06608877179633e-05,0.000166824972545257,2.00675399528493e-05,-9.94897788272974e-05,0.00042448749020844,0.000271388874860458,-8.3493642591331e-05,-3.86052602785982e-05,-1.8723759321001e-05,1.85809363115884e-07,-7.33857389455219e-07,-1.02682080317834e-06,-5.26922535699176e-07,-1.74324304232024e-06,-6.84207621773839e-07,-6.51539710065604e-07,-7.85469248040291e-07,4.71386269298468e-07,-4.25793147988386e-06,-0.00122937277982311,-0.000308550017807336,6.85170238862801e-05,0.000180925227790507,0.000784150133858326,-0.000306429385086082,-0.000307379787424685,-7.37497961572877e-05,0.000209792566588952,-0.000185209254145326,1.96042724262441e-06,-0.00461391492329351,0.0249980779198851,-0.00553460286003601,0.0166392330339159,3.48482698587551e-05,0.000200925583287778,-0.000242513618834079
"east_of_england","beta10",-2.68805273461344e-05,0.000144569215691658,-0.000107600314944463,-3.93580473163064e-05,1.91138059874835e-05,3.06835712487666e-05,-1.75408984440348e-05,-6.44681973383519e-06,-5.2886056937058e-07,-1.16156625747693e-06,-1.39899689450339e-06,-1.20301694642112e-06,2.24353054496687e-06,5.44934516406287e-07,2.58512508834309e-07,3.53372441422108e-05,3.54292507386799e-06,-5.22850191539518e-06,-8.73424595441467e-07,1.53932227227001e-05,-4.89908210925742e-06,-6.67703900069324e-06,1.04960030406988e-05,-8.55022041004071e-06,1.42299902102903e-08,-1.78703373288863e-07,-8.21835354314731e-07,-3.76093985066499e-06,-5.35076932912742e-07,-1.88017093267571e-06,6.25728811556926e-06,-1.50183615988744e-05,1.0296597960916e-05,-1.38972704363439e-05,-1.56212114750527e-06,5.48222515386871e-06,-7.52105948784206e-06,2.0290436517164e-06,6.97052743360954e-06,-3.05337547896552e-05,4.08073586295888e-05,5.16741353887226e-05,0.000136498654601624,-9.62675488718772e-05,-3.97710141525652e-05,4.16737405875902e-05,-0.000230793127960235,-0.000349512632960882,1.2947514038512e-05,-1.66455578288928e-05,-1.10232507580809e-05,-3.38020242382292e-05,0.000282017276404759,6.82078308275891e-05,-5.40410734099526e-05,-3.34465556463475e-05,0.000235209698482685,9.0003714880877e-07,3.09147337050557e-07,-4.02500974757229e-07,-4.06523081472474e-07,-1.52652176657768e-06,2.57734406767928e-07,-1.02277659772537e-06,-4.69071120196531e-07,1.45058726005676e-07,-1.25680774209988e-06,-0.000407227396090638,-0.000615069617063208,7.85938112828226e-05,5.23060187204376e-05,0.00047474069075837,-0.000215661745683375,-0.00013832469273335,0.000135951542097007,-5.07108782716279e-05,-1.75043236367722e-05,-3.2284290679578e-07,-0.00330160827185298,0.0129457051157847,-0.000249072387582709,0.00991364894091031,-4.66508251491048e-06,8.06416725264581e-05,-3.2711006508016e-05
"east_of_england","beta11",7.93636545235844e-06,-0.000353572040969154,-6.05493939990205e-06,2.23450810233585e-05,1.64071024539075e-05,-1.75408984440348e-05,4.64990654898274e-05,-2.32520850566833e-05,5.28448536545789e-06,-1.48282600201546e-05,-1.06115461806514e-06,-2.93477780650411e-07,-3.92945790444439e-06,-1.20573910906753e-06,5.34039361705759e-06,-0.000101170961201826,-4.74672865857117e-06,6.54902459387646e-07,-2.38870541050781e-05,-1.07419763404594e-05,3.02077460897562e-06,-8.24189413356787e-06,-6.08857704526733e-06,-7.65140906568038e-06,-9.40205537891234e-06,-7.66039394338833e-06,1.18949922150717e-06,-8.29057270752351e-06,-1.26242848925894e-05,4.01495958021491e-06,-1.36855904707368e-06,3.97164016397534e-06,3.7153554467034e-06,-2.0012528642991e-05,2.90740567724134e-06,-1.26910953156696e-05,2.81625680727318e-05,-1.71573840703831e-05,4.90674014284766e-06,1.34266262956746e-05,0.000379648400083864,-9.78925233665031e-06,1.75753813726332e-05,0.000114026666115012,-7.23380279611328e-05,-0.000144821668068603,0.00024127012298015,-8.63220918441144e-05,-1.11730851913728e-05,0.000150099306717242,3.89629828994928e-05,-8.42331434511289e-05,0.000284440626995392,0.000132025668985087,4.03886572664084e-05,-6.33629202092038e-06,-5.49547375462874e-05,-3.08703916314284e-07,-1.45631570773583e-06,-6.05642514187811e-07,1.22224287698499e-07,-2.46381876917934e-06,-4.23325813382765e-07,5.71100937188909e-07,-9.99911436223307e-07,8.51748262891419e-10,-1.944107360073e-06,-0.00067049437933444,-0.000211166879956836,3.25032775388052e-05,0.000100135017200053,0.000240860076843179,0.000147087631768783,-0.000217096015743898,-0.000252091949597772,0.000286994355352906,-0.000170593281442949,3.2529517572481e-06,0.00598978980390797,0.0118800591656594,-0.00420162017833758,-0.00102214515846809,0.000164364246430374,5.97678328897755e-05,-0.000140609357761576
"east_of_england","beta12",1.31652053193383e-05,0.000176291786830457,7.06658458236731e-05,9.74716718854539e-06,-2.3713606308415e-05,-6.44681973383519e-06,-2.32520850566833e-05,2.20554697518772e-05,-3.8505862763332e-06,1.16289205071223e-05,1.82416174191524e-06,5.96230138628303e-07,1.81189895325542e-06,-9.1245192842449e-07,-3.40415563500469e-06,4.32483266452323e-05,3.69653107434163e-07,3.19260056504742e-06,1.74832024939997e-05,-3.65914696399137e-06,8.43429205738226e-07,1.05228952668665e-05,-3.09035036895324e-06,1.09541010067702e-05,5.30707827233189e-06,6.52765826887411e-06,-4.40716389291991e-07,7.56527449646814e-06,8.99289660391252e-06,-1.2012796915119e-06,-2.83085837581974e-06,7.15972728339434e-06,-9.42146169004447e-06,2.47987454742778e-05,-8.60679890992131e-07,4.8507699985677e-06,-1.46799264395373e-05,1.04838869859102e-05,-6.72761910965889e-06,8.3566685244927e-06,-0.000283051813513479,-4.04674495283914e-05,-9.65016471358145e-05,-3.00325987777816e-05,4.9122440558687e-05,0.000100065298546336,-2.32439875461525e-05,0.000274816370805484,-1.5985274958959e-05,-0.000100031744983352,-2.02906941175717e-05,8.96608752669583e-05,-0.000383393986808249,-0.000139895453395979,6.18378734709572e-06,2.73835289396727e-05,-9.64350135964079e-05,-4.31724665592655e-07,7.3287565717444e-07,6.1494378099105e-07,1.18262802106595e-07,2.68903982558672e-06,9.89514034909543e-08,2.20262732313571e-07,9.57807290461304e-07,-9.83678592194128e-08,2.27143678896829e-06,0.000731429793374413,0.000573392705201027,-7.90483120097499e-05,-7.16318301187294e-05,-0.000498220393517878,5.28409133499481e-05,0.000257402544136984,8.83640041184215e-05,-0.000185725417547137,0.00013800751286898,-2.07749665597454e-06,-0.00163032691186757,-0.0170035642207501,0.0027161272784563,-0.00587748135234196,-0.00011279045160442,-9.43591935839488e-05,0.000106336489868811
"east_of_england","beta13",-2.33422200101164e-05,9.13756276422651e-06,-9.16422317605928e-06,3.26313050768131e-06,-1.87405451810081e-06,-5.2886056937058e-07,5.28448536545789e-06,-3.8505862763332e-06,3.28903559519761e-06,-5.00912308444269e-06,3.04515320626702e-07,-6.22791980866895e-07,-6.87787920805492e-07,6.07884881522568e-09,-1.20395148316089e-06,-2.1230199768807e-05,5.61802735660713e-07,-1.31149986791954e-06,-7.10342983244729e-08,-1.04259702268111e-05,1.82289993793893e-06,-2.44790793493311e-06,-5.06206369606995e-07,-2.75821571433337e-06,-2.58059782427415e-06,-2.0595721653415e-06,1.82237622777573e-06,-1.07789194694782e-06,-4.83018857725726e-06,4.95631480098987e-07,9.03228690545472e-09,-2.53674885279563e-06,3.37804851614814e-08,-7.38154429125758e-06,6.05330879517955e-08,-1.08425518082965e-06,3.91733615848968e-06,-4.74646910399718e-06,5.2538968256355e-06,-1.38821318323809e-06,-3.07184716807481e-05,2.66479144861027e-05,-1.49623734665371e-05,2.8175590932881e-05,-3.7235394047307e-05,-8.00008720386883e-05,7.4543953925711e-05,-1.18151346656432e-05,-2.61316176155025e-05,1.00152287573263e-05,2.83500852683172e-06,-2.35854504887526e-05,5.49526212891507e-05,-3.43020631477409e-06,1.23790001521907e-05,-2.12741463047186e-07,7.39234268084056e-05,1.02390187977754e-07,-1.55650463696538e-07,-9.23852161636216e-08,1.03107814949428e-07,-9.21634644043654e-07,8.69637673256783e-08,1.14762740863647e-07,-3.74215558368044e-07,-7.83630550412204e-08,1.60127082462455e-07,8.13380717951714e-05,-0.00016699683344178,8.10998431777781e-06,4.37264644739549e-05,7.42856342626239e-05,5.70556922420947e-05,-2.2470988631946e-05,-3.72173358060236e-05,4.62901081951724e-05,-2.2772482732134e-05,5.0720335428507e-07,0.00263293521564913,0.002359387334113,-0.000313575606602295,-0.00198372625733832,4.85399138946681e-05,1.62496256738462e-05,-4.2315110415462e-06
"east_of_england","beta14",2.63365949852271e-05,5.23924544159377e-05,4.03175921124826e-05,-2.86974085131075e-06,-5.75762668326673e-06,-1.16156625747693e-06,-1.48282600201546e-05,1.16289205071223e-05,-5.00912308444269e-06,1.22818293996302e-05,9.90145491202416e-08,1.29357938492279e-06,1.75780646050439e-06,2.85106093505295e-08,8.43484734877729e-07,4.63099274908981e-05,1.40266138228634e-07,3.25148944874738e-06,4.58311084471625e-06,1.69976111105959e-05,-3.25985202840779e-06,8.3668283679547e-06,2.49651026360609e-07,8.87669764946502e-06,6.21875277907924e-06,5.44163436156076e-06,-2.92328548074088e-06,5.74442199247979e-06,1.12704549704536e-05,-2.07140421069174e-06,-7.64840403496158e-07,7.58550627869871e-06,-5.74079037512383e-06,2.43430003816508e-05,-2.10589420766589e-07,3.6574626484969e-06,-1.20786754010254e-05,1.12478212264503e-05,-1.07832624221409e-05,4.80166789987577e-06,-0.000101744758092405,-4.78140165793492e-05,-7.07579016344531e-06,-6.43191014383257e-05,5.22462394488945e-05,9.673887992804e-05,-7.17031120574475e-05,0.00010222144932499,4.20471843435805e-05,-5.80664637125918e-05,-1.21720286436749e-05,6.82039075635792e-05,-0.000232011954172067,-1.78508489467767e-05,-1.48649169834775e-05,7.4452759317156e-06,-0.000128840673157274,-1.31559871346854e-07,7.55519483748801e-07,3.45706698223328e-07,-8.0888264382782e-08,2.19402179516285e-06,-7.89006596071868e-09,-1.82599955620227e-07,9.77131850074816e-07,1.35073207656219e-07,4.49518779263069e-07,0.000203005545040587,0.000308675731973966,-2.02522938118718e-05,-6.85457457426523e-05,-0.000238855339565778,-0.000125201518436465,0.000128413156075026,0.000105052886493137,-0.000176934842391245,0.000100436041921607,-1.64603228054133e-06,-0.004692198651454,-0.00891889032573146,0.00199196880658102,0.000944306830373236,-0.000126346739157069,-5.4507926887179e-05,6.19425723484804e-05
