"region","name","alpha_admission","alpha_D","alpha_death_hosp","alpha_H","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta4","beta5","beta6","beta7","beta8","beta9","mu_D","mu_D_2","mu_D_3","mu_D_4","mu_D_5","mu_gamma_H","mu_gamma_H_2","mu_gamma_H_3","mu_gamma_H_4","p_G_D","p_G_D_2","p_H","p_H_2","p_H_D","p_ICU","p_ICU_2","p_ICU_D","p_NC_15_24","p_NC_25_49","p_NC_50_64","p_NC_65_79","p_NC_80_plus","p_NC_weekend_15_24","p_NC_weekend_25_49","p_NC_weekend_50_64","p_NC_weekend_65_79","p_NC_weekend_80_plus","p_W_D","rel_p_D_alpha","rel_p_D_delta","rel_p_D_omicron","rel_p_H_alpha","rel_p_H_delta","rel_p_H_omicron","rel_p_ICU_alpha","rel_p_ICU_delta","rel_p_ICU_omicron","rho_pillar2_tests","seed_date_alpha","seed_date_delta","seed_date_omicron","start_date","ta_alpha","ta_delta","ta_omicron"
"east_of_england","alpha_admission",1.25430514717498e-05,-6.70040889998086e-06,1.24082857865522e-06,-1.27957368513164e-07,-3.25932303005564e-07,6.06373802949593e-08,-8.71622287425639e-08,1.04932817936718e-07,1.07701798749286e-08,1.22116313333511e-07,3.67208811202328e-08,1.62867521116173e-08,1.3829072848229e-07,-7.98136856516516e-08,-1.23569409517921e-08,1.81464618394208e-06,2.78459705434084e-07,-3.48679839278338e-08,2.06743972321337e-07,-2.74565043569712e-07,2.75363884111274e-07,-2.30784928856256e-08,1.84899223078718e-07,1.13809971870342e-08,2.35387580096439e-07,-1.96116835521049e-09,9.2063135828195e-09,1.77620620043904e-07,7.07287517955835e-08,2.60059121649403e-07,-7.12646433727842e-08,2.32566232720201e-07,7.1819515438175e-08,9.33028071198643e-09,-2.03489427809507e-08,-8.22283515672814e-08,6.17937865061532e-08,1.56978808760911e-07,-3.45604950809902e-07,-1.13319162753193e-08,1.38412198148844e-05,6.42062263117971e-06,-2.19234856860147e-07,5.8258010710046e-06,8.03790665450524e-06,3.21805250691504e-05,-9.97536410104457e-06,1.09897319437999e-05,-8.42532204619155e-07,2.26682416927683e-06,4.57549780961836e-07,7.60178293482411e-07,5.0031696531151e-06,2.28048398635076e-07,-2.63560915549761e-06,2.02535456122401e-06,-1.08593915581127e-05,-9.02596030873699e-09,-9.29981552834468e-09,1.30175227534159e-08,1.187096284069e-08,-2.878968953521e-08,7.45326678185657e-09,-5.35835903934182e-10,7.05519974783845e-10,-3.45832154494614e-09,-1.43363603463857e-08,-3.2452522132896e-06,5.09598024239042e-06,-9.23442043116192e-06,-5.66574813361194e-07,3.98291266686501e-06,-5.05006390353309e-06,1.17566459729857e-07,-2.05414992049208e-05,1.32043020288524e-05,-5.32900845892524e-07,-4.09715745997277e-08,-0.000158791079767926,0.000196584210773386,-3.47195846886748e-05,9.71252979404942e-06,-4.4850131065203e-06,-7.16000622350414e-08,-8.30836098423093e-07
"east_of_england","alpha_D",-6.70040889998086e-06,0.000542130955309216,2.0474300767464e-05,1.82131046504695e-06,-4.31452016704384e-06,1.64376110605689e-06,-2.47668975653904e-06,4.90194581600671e-07,-2.39832596092016e-08,4.08876307847162e-07,5.70947529166998e-07,-4.13009390084327e-09,4.1356295123113e-07,6.0118143350039e-07,-2.34124411947905e-07,8.13222133287088e-06,1.93187225104993e-06,-2.3185909634681e-06,4.80775166857334e-06,-3.41441609296948e-06,1.55350695287461e-06,-8.87676277072142e-07,-1.33449849228666e-07,6.80528539382696e-07,-1.82093182375883e-06,2.05102530072991e-06,-2.02143172729e-06,-1.49428100583483e-06,1.52527193231193e-06,-2.31921308014548e-06,1.99463448933038e-06,-2.25449630509512e-06,2.16226375086568e-06,-3.6288133061952e-06,1.09270101402562e-06,-4.64030308421616e-07,3.66032352296861e-07,-1.17845144891118e-06,3.37232431640096e-06,-2.33459783052454e-06,-9.15600033112944e-06,0.000161716608197625,0.00025050039832026,0.000155472361543098,0.000128567155070562,-0.000167054622231585,1.45979933669075e-05,-1.82845632527493e-05,-9.13590230941044e-06,-5.001686612372e-05,5.10497346946076e-05,-3.1325269915971e-05,-7.6984197345381e-05,-5.64824581244553e-05,-1.63614025063537e-06,-1.70685847400805e-06,-0.000158537687676193,4.14748882631988e-08,3.36267057013261e-08,1.99806659613394e-07,1.01381870095748e-08,9.91012549207085e-08,-8.29094524973281e-08,-7.44232916035608e-08,-1.04787647536804e-07,-1.84186992844831e-08,1.50522635170364e-07,-3.415164194089e-05,-0.00114374016018081,0.000106376714940238,-4.16386469287926e-05,0.000258176148326794,-6.70001225956175e-05,8.60503886258788e-06,-0.000118307030120868,0.000119250369422044,-1.60778192302015e-05,1.00875841107368e-07,-0.00159789427599813,0.0021416158770038,-8.70118351485764e-05,-0.00156807867229868,-1.76597237734067e-05,1.5975715537669e-05,-2.46662833792152e-06
"east_of_england","alpha_death_hosp",1.24082857865522e-06,2.0474300767464e-05,4.18384478651394e-05,-1.41728287906872e-06,-9.73387030376282e-07,2.08688821981279e-07,-6.46708533018727e-08,4.8707176497051e-09,-5.95387802639906e-08,6.56077987795028e-08,-1.28637338710422e-07,7.76855288792837e-08,7.82802962821023e-09,4.01464083101193e-07,-3.30702574295452e-07,2.99343324047245e-06,2.7593862923206e-07,1.82189301000186e-08,5.22124748446662e-07,6.9657845925635e-07,2.55568634137071e-07,1.3255165423916e-07,2.15626944480129e-07,-2.05870799289227e-07,1.27215905416417e-06,-1.79409886563216e-07,1.41969921240355e-07,9.95016757815443e-08,5.31396292616632e-07,3.43055985826736e-07,3.95300197322122e-07,1.98265419379305e-08,4.53354294692156e-07,-3.48618767487161e-08,6.44608600303343e-08,-1.99159429736263e-07,2.43040519274117e-07,-1.23437605604784e-07,-5.73331713980303e-07,2.96309110719546e-07,2.40401949495133e-05,4.73200335535544e-05,4.97346963629692e-05,5.85323328926469e-05,6.26485403137762e-05,2.77616141147607e-05,-1.77321098776723e-05,3.32615011707117e-06,5.96521509000001e-06,-5.18771123228121e-06,1.74882750555381e-05,-1.79538788424491e-06,-1.37455340243244e-06,-1.96193233817013e-05,3.23983912795195e-06,3.58700184908894e-06,2.20340555870561e-05,-5.16296967828777e-08,-6.13317185645805e-08,-4.01414420171988e-08,-4.2618500162219e-09,-1.59156313417291e-07,2.41954155974803e-08,-2.18277388723418e-08,-3.38796156857437e-08,2.25522699724335e-09,2.92659239049416e-08,1.46323857070198e-05,-0.000294982444245936,2.43777918347788e-05,-4.01674770191427e-05,8.26572331473707e-05,-3.72163861143548e-05,-6.45904856185635e-06,-4.33214643716948e-05,3.32081047684404e-05,-1.31701307741888e-06,-8.21543689738976e-08,-0.000321986790116244,-0.000578085843946866,3.199928370318e-05,-7.76081146829237e-05,-6.09146165808573e-06,-8.13012594589827e-06,-1.32167096784749e-06
"east_of_england","alpha_H",-1.27957368513164e-07,1.82131046504695e-06,-1.41728287906872e-06,1.26695713022179e-06,2.2010933107218e-07,-7.61534691511066e-08,-1.2774766657141e-07,1.06874953462897e-07,-3.6630225050106e-08,-1.0178859978547e-09,6.81880654307301e-08,-2.16928601638008e-08,6.75905300342789e-09,-1.08102129646208e-07,8.50424331440713e-08,-1.2401944154191e-06,-5.70375251842838e-08,1.4890207454596e-08,-1.80507150041666e-07,-1.21553849345766e-07,5.56125213615748e-09,-7.37664516660523e-08,-2.587364193069e-08,1.18727794334788e-08,-2.30308694620596e-07,4.08789514693104e-08,-2.26394330239824e-08,-1.05291578456403e-07,-6.01143998047653e-08,-1.34083808157484e-07,-3.22058639741935e-08,-1.11981751226961e-07,9.96009037338367e-08,-4.04512324474896e-07,-8.85818522162343e-09,3.14320697783934e-08,3.32146441110193e-10,9.93567538490868e-08,-1.20074047904816e-08,-3.60347276260241e-08,-9.77258327935086e-07,-2.40533352048261e-06,-5.08791903065631e-06,-4.90686565547699e-06,2.4162626908714e-06,-4.74722607879957e-07,2.62012129478116e-06,-1.7533294432914e-06,-1.03254409999912e-06,2.25385866341308e-07,-1.55026420452277e-06,-7.11039507703707e-07,3.08294550486007e-06,-9.20570237092789e-07,-3.93562716251017e-07,3.44100108459319e-07,1.8233991408708e-06,3.35633408711039e-09,6.47600933659088e-09,1.44454354034088e-10,-2.02110787071423e-09,-1.96102288455958e-08,-4.92332284960218e-09,-4.28265114603498e-09,-3.37679911366489e-10,-2.6151406602507e-09,1.99496929634695e-09,-4.09485252537748e-06,2.63450231165249e-05,-2.29035992965426e-06,-6.38775924135125e-06,-3.00543001009464e-06,4.9351477215031e-06,-2.33603138266669e-06,-2.41284292610816e-06,-1.71291752552467e-06,7.42413586272094e-09,-1.37035929505584e-08,1.68982069634971e-05,0.000114459334112802,5.05741044992319e-06,-2.29395177684445e-05,7.87080919922338e-07,1.41523712693049e-06,6.63295312802701e-07
"east_of_england","beta1",-3.25932303005564e-07,-4.31452016704384e-06,-9.73387030376282e-07,2.2010933107218e-07,8.29650008671549e-07,-1.39411546203717e-07,6.2113171019543e-08,2.80277894110559e-08,-4.27300790266018e-08,1.07731071521379e-07,1.08263796128774e-08,2.15922589118399e-08,-2.37998910098183e-09,4.0316544252769e-08,4.88577721496989e-08,-1.40236017342404e-06,-6.36489158650413e-09,1.27147598211737e-08,-6.24022458607393e-08,-7.00661640220097e-08,-2.90013472504247e-08,-4.20641837204144e-09,-3.6153461017324e-08,5.67334522084744e-08,-5.84051287716055e-09,-8.24423307017149e-08,-7.25989195687707e-10,4.95269112086854e-08,-8.907075984077e-08,-9.51736671219391e-09,2.94796245890125e-09,-5.283878363699e-08,6.73599902425859e-08,-3.33182688144741e-07,2.16978502036754e-08,-1.57087807064026e-08,5.38696954288321e-08,-1.26709083905361e-08,3.04217900948238e-08,9.54947315446955e-08,2.12410303498511e-06,3.46811882133238e-07,-9.77108957043676e-08,-1.39310671191774e-06,6.68681163838873e-07,-4.89050397265323e-06,3.76717005173609e-06,-9.66384458804109e-07,4.27147344464743e-08,6.69853387663471e-07,-1.10072906901468e-07,-1.44311627053889e-06,1.0300991180849e-08,-1.74964426448993e-06,3.02567322815111e-07,-1.15757994752291e-07,8.8298860828947e-07,-1.41101044612829e-09,7.50372588345242e-09,-1.20949141725456e-08,-4.41145027534656e-09,-8.44252118000176e-09,4.13721173760152e-09,4.31489372863995e-09,4.75135897971259e-09,6.67285109989363e-10,9.01866188932313e-09,-3.39093767621874e-06,5.04562970365257e-06,-1.55509760113165e-07,-1.35713027337064e-06,1.6561852818832e-06,8.45639938843718e-07,3.70981856169262e-07,8.26291475263466e-07,-1.47003716971807e-06,8.67905561557509e-08,-2.91982614908142e-09,-4.82554600649245e-05,8.40551423848317e-05,-2.84441265187518e-05,0.000180887107206691,-3.85358308295683e-07,1.84255618472958e-06,-7.17221752786688e-07
"east_of_england","beta10",6.06373802949593e-08,1.64376110605689e-06,2.08688821981279e-07,-7.61534691511066e-08,-1.39411546203717e-07,4.59933917778837e-07,-5.12273814925812e-07,1.49940997495737e-07,-5.07293571621845e-08,2.11431216630706e-08,-1.59241284126186e-08,-2.6425445979647e-09,-2.29925022326042e-08,5.66225338406567e-08,-2.99695364199181e-08,1.84651409119804e-07,-2.2236332133271e-08,-5.07949958494696e-08,-7.77741141172339e-08,3.19147463724987e-08,-2.86113342478049e-08,-6.06234419347715e-08,-4.94626244104879e-09,-8.03530521698795e-08,-6.41789675102487e-08,-3.67507461846721e-08,1.00761036881326e-08,-3.63423893079332e-08,-8.72913383872317e-08,-8.73134682254167e-08,-5.94145835753945e-08,-7.2865278596379e-08,-8.72549404489926e-08,-4.84275322850769e-08,-1.90205766002947e-08,2.16490858389078e-08,1.31417001413505e-08,-7.32780509019024e-08,2.6019554593908e-07,-5.26975084978676e-07,-3.12277874422451e-07,-4.32585191906138e-07,-7.63226298085862e-08,4.50361747029528e-07,-7.50543133896655e-07,1.04869598482591e-06,-3.92945059443494e-07,-2.9214040025685e-07,-3.99618079417689e-08,6.09833261584479e-07,-4.77968951081842e-08,2.1801274694579e-07,9.09077335000217e-07,-5.73209810443423e-07,1.95569981883809e-07,-4.1996092891861e-08,6.7487803086031e-07,1.2754211467945e-09,-5.93162257124199e-09,2.44455581744554e-09,-1.08299968197135e-09,-3.81105140124102e-09,-3.39550596024789e-09,2.49277437309486e-09,-1.89054594404768e-09,-6.75722517771123e-10,-3.55298681979656e-11,-1.2337998411354e-06,1.04671790729917e-06,4.18859873325414e-07,2.51881599892259e-06,-1.5385688622561e-06,1.2909156092479e-07,2.12675427065358e-07,8.0448592403789e-07,3.01899507327179e-07,1.47587928913379e-07,-8.14107857344939e-10,1.44497046427967e-05,1.24035026804101e-05,1.7656362456709e-05,-3.24978917522007e-05,4.07909586262859e-07,1.29109511304203e-06,1.53139954410308e-06
"east_of_england","beta11",-8.71622287425639e-08,-2.47668975653904e-06,-6.46708533018727e-08,-1.2774766657141e-07,6.2113171019543e-08,-5.12273814925812e-07,9.5341999995995e-07,-4.31672626305092e-07,1.80557721137648e-07,-1.41683266779367e-07,4.90764568414545e-08,-1.39768791491352e-08,2.27624099478889e-08,-8.56463745261107e-08,2.51292647790315e-08,-7.24764640148626e-08,2.79540302750583e-08,7.27057277202405e-08,6.15281129683104e-08,-6.29958683811297e-08,5.87992038766953e-08,5.46033445046546e-08,-6.77768680084854e-10,7.14936220927252e-08,1.16472412315554e-07,-1.49156622731835e-09,-1.32909008268486e-08,6.02115204519556e-08,7.23223497227551e-08,1.03683990596182e-07,5.74772862414838e-08,9.75044724581883e-08,3.33817976483002e-08,1.69406725020785e-07,4.21973552747032e-08,-6.49849862986998e-08,2.10974554025487e-08,2.16468028991568e-08,-1.92382309515307e-07,4.74392560872371e-07,-7.20274438737132e-07,3.37833615050269e-07,1.0358263403234e-06,1.67369746587792e-06,1.61033103217974e-06,2.00609998591671e-06,-2.60410703537067e-07,1.89372617759612e-06,-8.13161871001704e-08,-5.62522151793368e-07,4.65988559648788e-07,9.01141039729394e-08,-1.68716453505518e-07,1.63718295547452e-06,-1.69449887036816e-07,-8.91186846052931e-08,-5.76418661472801e-07,-2.52283280316435e-09,7.14205344804159e-09,4.19457298117399e-10,2.24362539494572e-09,5.40448466982147e-09,6.62886334705443e-09,-4.20389195573886e-09,1.29597336737758e-09,4.34243766225948e-09,-9.48617091915905e-09,1.11575638518276e-06,-7.74395674941893e-06,-2.44704332662167e-07,-4.12427672445602e-06,1.79854113448813e-06,-5.42847800329987e-07,-6.12215560832529e-07,-1.5167213389973e-07,-5.34121344925662e-07,-3.46891689576579e-07,-5.22813638001984e-09,6.57245966372552e-05,3.02650096850889e-05,-1.17359060162186e-05,1.83480158264683e-05,8.39719495140013e-08,-1.8620878047978e-06,-1.34304268808003e-06
"east_of_england","beta12",1.04932817936718e-07,4.90194581600671e-07,4.8707176497051e-09,1.06874953462897e-07,2.80277894110559e-08,1.49940997495737e-07,-4.31672626305092e-07,3.44632864975258e-07,-2.05218548617005e-07,1.8083153507736e-07,-8.26497935968659e-08,1.3039612935777e-08,-9.50438805809482e-09,3.17433386782619e-08,-1.4080164561807e-08,2.04938812312601e-07,-6.43863643150342e-09,-2.85379571431133e-08,3.91330303335923e-09,3.34229636023972e-08,-3.56694233614697e-08,-1.20294127575991e-09,3.71209266475911e-09,1.13208025693036e-08,-6.44572676886468e-08,4.26996772444083e-08,-8.83132947150962e-09,-1.42391184548174e-08,-1.81279177945063e-09,-3.93030903043966e-08,-1.31025329354219e-08,-3.49962010014236e-08,-8.25322726377287e-09,-4.15781902204879e-08,-1.63978956688326e-08,4.29598639458117e-08,-4.25885303442518e-09,-6.87070888875165e-09,6.13156892505804e-08,-1.15566563021355e-07,4.89233850327172e-08,4.4879353532025e-07,-2.02535834193161e-06,-1.43531849367281e-06,-1.80708522509765e-06,-4.66696819223821e-07,1.99042230206363e-08,-7.76516683970399e-07,-2.21344743171914e-07,4.03009638089058e-07,-4.41167904475708e-07,-8.43182317762074e-07,-8.40706131180955e-07,-1.03411241970221e-06,1.39301507540821e-08,3.7611120326025e-08,7.93810656683904e-07,3.23185984645234e-09,-4.982345548613e-10,3.16592868433316e-09,2.23310931304551e-09,8.94131868747191e-09,-1.03071135272801e-09,4.69980136295185e-09,2.73978936953914e-09,-4.66851311029782e-10,9.69827521762027e-09,-5.78410745493605e-07,8.27484675175488e-06,-1.1532044751638e-06,3.75487274777625e-06,-9.25192490449695e-07,1.15003790090746e-06,3.82174967762951e-07,8.20348420844553e-07,-9.72435207958149e-07,1.48910755553241e-07,8.77680912160519e-10,-2.6253993068201e-05,-4.14288211900193e-05,6.53488415357456e-06,7.25918370762086e-06,2.56829669573123e-07,5.43083731056855e-07,2.70231150887081e-07
"east_of_england","beta13",1.07701798749286e-08,-2.39832596092016e-08,-5.95387802639906e-08,-3.6630225050106e-08,-4.27300790266018e-08,-5.07293571621845e-08,1.80557721137648e-07,-2.05218548617005e-07,1.98309728780148e-07,-1.94937223646899e-07,1.05319680768106e-07,-4.73779365291117e-09,1.11264927741644e-08,-1.16929208473732e-08,1.38220397905388e-08,-4.89682649643105e-08,-4.12950354621883e-09,2.39103748169593e-08,-1.16503643829935e-08,-1.98585759323833e-08,2.08826796524055e-08,-1.69069793338593e-09,-4.46410426110578e-09,-3.41810177264933e-09,1.98497640335641e-08,-1.81203573048436e-08,-6.01769064191186e-09,4.8488593014013e-09,-5.2035013402955e-09,1.75261169764306e-08,9.23802742265849e-09,1.74388438027754e-08,1.57775818831866e-09,2.7730094912817e-08,8.84456768611678e-09,-1.78639384840072e-08,-1.3638764840502e-08,2.25986166159863e-09,-3.38799744037114e-09,1.71993599113862e-08,-7.69573742729283e-07,-1.29429736972158e-07,1.11905764139961e-06,6.85815261209315e-07,1.62111468573124e-06,2.55515639410688e-07,6.54735627762954e-08,3.814584031607e-07,2.57855450689948e-07,-3.7847052065989e-07,1.94834563182938e-07,8.45052491314039e-07,1.42924310363118e-06,5.9192139963322e-07,-8.4075894776839e-08,1.60253554639754e-10,-4.68504997525934e-07,-2.1418821375924e-09,-1.68184110582626e-09,-2.82528770444139e-09,-1.85142151728303e-09,-1.37117656766309e-08,-6.07118319096328e-10,-3.9553092685851e-09,-1.9293205556203e-09,-7.67703646888332e-10,-5.79579176208525e-09,3.46759096330453e-07,-3.48585631331977e-06,4.31674486144261e-07,-3.13895537469704e-06,-1.78526300509816e-06,-2.31152940238397e-07,-4.62331449358622e-07,-5.35268042907519e-07,5.20442204112912e-07,-1.13843318975548e-07,5.87096316470811e-09,2.88007317687402e-05,2.31582569180284e-05,-6.67497613946874e-06,-9.79045837930098e-06,-4.15211892872426e-07,-8.84563823626463e-08,-7.25255674950524e-08
"east_of_england","beta14",1.22116313333511e-07,4.08876307847162e-07,6.56077987795028e-08,-1.0178859978547e-09,1.07731071521379e-07,2.11431216630706e-08,-1.41683266779367e-07,1.8083153507736e-07,-1.94937223646899e-07,4.05360558748304e-07,-2.10798660255627e-07,2.90219208908385e-08,1.59492302752242e-08,4.928468499516e-08,-6.12672508847578e-09,1.52403723282782e-07,6.30046912620636e-08,-1.54294399666095e-08,9.82497147300053e-08,2.56628841981727e-08,2.50978598347424e-08,2.48242032620917e-08,5.52262445065078e-08,2.07837670318455e-08,6.38760765153428e-08,5.19740377939555e-08,4.8687756672055e-09,6.10896686947881e-08,5.07505794749809e-08,5.43259561850156e-08,2.53575340008117e-08,4.18648755200817e-08,6.77318268607112e-08,-3.95757044705795e-08,-2.87270107788445e-10,6.07543897166249e-10,2.97204419115268e-08,1.24524293425903e-09,-2.20150673682027e-08,1.66271957993374e-08,1.66199776363057e-06,6.42065406085256e-08,-1.1236970234197e-06,-6.28989065407686e-07,-7.61000146864128e-07,-7.08496657285188e-07,4.94208838610547e-07,1.26678437895386e-07,-2.18754106331088e-07,6.0220628681314e-07,-2.44658523703047e-07,-9.48133575093253e-07,-2.63241628105738e-06,-8.68663725004268e-07,-2.82746031965695e-07,-1.93738390183468e-09,-2.2003669192921e-06,3.12154702266794e-09,6.0795036505489e-09,3.691468491915e-09,2.9792255474459e-09,1.85436094063224e-08,-1.59122515288597e-10,6.62747701670288e-09,3.48351184754297e-09,9.33389409548375e-10,4.8596169809717e-09,-1.08625314621689e-06,6.94607629943677e-06,-1.21630671747625e-06,2.20463853017523e-06,6.36841757309503e-07,7.72716191573849e-07,6.89079399100341e-07,1.12960615289202e-06,-1.22234099667009e-06,-1.1543243254193e-07,-1.05367285404112e-08,-6.90628160062308e-05,-1.03640125546446e-05,-1.00518688596914e-05,3.76350639844285e-05,-8.97875654900914e-07,-8.40152803958211e-08,-6.83960432909352e-07
