"region","name","alpha_admission","alpha_D","alpha_death_hosp","alpha_H","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta4","beta5","beta6","beta7","beta8","beta9","mu_D","mu_D_2","mu_D_3","mu_D_4","mu_D_5","mu_D_6","mu_gamma_H","mu_gamma_H_2","mu_gamma_H_3","mu_gamma_H_4","p_G_D","p_G_D_2","p_H","p_H_2","p_H_D","p_ICU","p_ICU_2","p_ICU_D","p_NC_15_24","p_NC_25_49","p_NC_50_64","p_NC_65_79","p_NC_80_plus","p_NC_weekend_15_24","p_NC_weekend_25_49","p_NC_weekend_50_64","p_NC_weekend_65_79","p_NC_weekend_80_plus","p_W_D","rel_p_D_alpha","rel_p_D_delta","rel_p_D_omicron","rel_p_H_alpha","rel_p_H_delta","rel_p_H_omicron","rel_p_ICU_alpha","rel_p_ICU_delta","rel_p_ICU_omicron","rho_pillar2_tests","seed_date_alpha","seed_date_delta","seed_date_omicron","start_date","ta_alpha","ta_delta","ta_omicron"
"east_of_england","alpha_admission",0.000239264053518877,0.00096490553066853,0.000165946346708865,1.08028733266529e-05,-7.06354272677964e-06,-2.09527590133683e-05,3.18287116620311e-05,-2.77964555854478e-05,1.81839034106644e-05,-1.49642839819885e-05,1.61680512121501e-05,-3.82366721378582e-06,9.00307511784599e-06,-6.25074898362571e-06,6.82030717048462e-06,1.0800800059299e-05,-8.61300237451038e-07,9.73755181714876e-06,1.82962395517267e-05,1.14008626387092e-05,5.21964193969485e-06,1.51660340534824e-05,9.2434607370951e-06,6.20201724398611e-06,1.61260485826833e-05,6.24602734546408e-06,3.09704433514876e-06,2.64475908176037e-05,6.97489357206975e-06,-7.81895211828693e-06,-4.99588441974188e-06,1.72331587381446e-06,5.37715579213576e-07,3.12944116796154e-05,-2.96697530892221e-07,-1.06624449594895e-05,1.82993098385635e-05,-1.93341537279393e-05,1.02361970208193e-05,2.16285713375244e-05,0.000244047431274148,-0.000828241031263254,-0.000209127040339737,0.000511004696160718,0.000172117640976891,-0.000314077515313551,-0.000652950004802318,-0.000191638442258535,-0.000220761383163462,0.000164429183666221,-7.90026400328628e-05,-6.80239454245271e-05,0.000157612353391065,-0.000380642458746223,-0.000140058967101118,-1.65770908115881e-05,-2.57447160864469e-06,0.00071061553393525,1.05959983715782e-07,-9.44577257634291e-07,9.40841270398782e-07,3.66239072507704e-07,1.38751771157579e-06,-8.53597646224757e-07,3.02106582323077e-07,-3.34663061966839e-07,2.96890943575639e-08,2.1495319893297e-06,0.00136446040453492,0.000962031425501767,-0.000203128437633982,0.000139594861795627,-0.0015837966192511,0.000213292770101073,0.000686049950680291,0.000192241965250699,-7.63841541074632e-05,-0.000217781536752352,-1.20176382927876e-06,-0.00412860929801437,-0.0240044509544664,0.000968314932141955,0.000234717059201198,-6.04698603565288e-05,-0.000367063054500673,0.000312512401228384
"east_of_england","alpha_D",0.00096490553066853,0.0294613699798991,0.00147274856288813,0.000186907952797585,-0.000209227659319038,-0.000301476601890823,0.000356437503051005,-0.000238444651173108,0.000189343648587897,-0.000163347353559927,0.000135931402461675,-4.12229366514797e-05,0.000127702764688957,-6.25791116410914e-05,-0.000102956210977655,-8.62815421156148e-05,0.000169765890156521,1.55634404665819e-05,0.000298012818698094,0.000353265158902197,8.44225382634058e-05,9.63863553555591e-05,0.000208636223593103,2.90116178695733e-05,0.000372769418333416,2.97416180181793e-05,-3.63155489394553e-05,0.000233591584644976,0.000246775793921251,-5.95067454244759e-05,-0.000102058971763463,0.000191878365380514,-3.41711984934264e-05,0.000454854438858386,4.58389253676612e-05,-0.000183290191567802,0.000378660033541939,-0.000316448624502794,1.77720187093499e-05,0.000456261513529031,-0.00437170258821322,-0.00432556882524925,0.00157783543770961,0.00570467196822154,-0.00149242312929091,-0.000916233289769381,-0.0165869271547749,-0.0022789784991697,0.00151950865247952,0.000457727140586568,-0.00135111003407074,0.000194171155978046,-9.77254157355438e-05,-0.0016268671911373,-0.00047154400736937,0.000122744585924854,-0.000728708492532401,0.00389849145852772,-9.0892928667378e-06,-5.98890360431001e-07,4.02259141410821e-05,8.24598910253583e-08,5.72032367591269e-05,9.69559210396953e-07,-7.95777008361383e-06,6.09469063970217e-06,4.93144567943917e-06,3.09953772857848e-05,0.0122517928318305,-0.0121597040925545,0.00314585525034612,0.00555681005616254,-0.0148254719132017,0.00343828823833659,0.00305715904067679,0.00910154985068082,0.000240075972974086,-0.00353898849235438,1.64419477713558e-05,-0.0279912697999313,-0.276508700709865,0.033033505961418,-0.0848420225102764,-0.000473962401717253,-0.00537124303529969,0.00274459631263848
"east_of_england","alpha_death_hosp",0.000165946346708865,0.00147274856288813,0.000454129601660624,-1.58850724249991e-05,-2.75280978888164e-05,7.46659293954436e-06,6.58138395413566e-06,-2.39052474988363e-05,2.05527502864193e-05,-1.87307666808068e-05,3.07471443353509e-05,-8.57761930373348e-06,1.67741479718165e-05,-1.65918216383342e-05,2.83206081857902e-06,4.66254814862025e-05,-6.89132552280302e-06,1.04641645149736e-05,1.83854017944931e-05,2.08022052878888e-05,-7.03543588063206e-06,2.18599273381331e-05,1.53549176866739e-05,-1.57840758521533e-05,3.80023380067835e-05,-9.25523818241503e-06,9.63505817951373e-06,2.59006010347285e-05,5.50108189593125e-06,-1.8789275042151e-05,1.65076569249883e-06,-3.49892935802836e-05,3.08558835746369e-05,-7.05770248835325e-05,-2.61663872559864e-06,-6.98438704713159e-06,4.92654527030409e-06,-3.0763492976536e-06,-2.43921306248313e-06,2.07660388432689e-06,0.00049326104825896,-0.000649539388355962,8.21327669095087e-05,0.000990756802168834,-0.000618432774593372,-0.000155233372309707,-0.00116016419663332,-0.000491448443431879,-0.000274107893337337,0.000191234528489049,-7.96466102590538e-06,4.12967306208583e-05,0.000159171756812428,-0.000312614815700621,-0.000538465881749228,4.36807030106385e-05,-0.00010897661585301,0.000839597523579441,-5.83211622220643e-08,-1.40558639051287e-06,1.2979275172627e-06,-2.4459718338949e-07,1.90373429137014e-06,-2.7617613564926e-07,-2.02406008370081e-06,1.80662182036329e-06,9.95860307325484e-07,9.67683156118825e-07,0.00140350806466801,-0.000281649564635014,0.000501394337361075,0.000403186505046778,-0.000497713412904475,-0.000152497469499895,0.000326645825120471,0.00108505355517604,-0.000225074236413886,-0.00017321475627857,5.84238817559924e-07,-0.00473625072089712,-0.0353513682700077,0.00607952114228021,-0.0030767340512828,-0.000104947976421176,-0.000279667642283912,0.000476690260791677
"east_of_england","alpha_H",1.08028733266529e-05,0.000186907952797585,-1.58850724249991e-05,1.11551038040727e-05,1.62996003346664e-06,-2.5805675590331e-06,9.14991241572998e-08,-1.47826848424094e-07,5.91654986722682e-07,9.5326210591577e-07,-1.01559327114265e-06,-9.675110525283e-08,9.80347835365891e-07,-9.41959725713897e-07,1.78605336469585e-06,-1.58367538823456e-05,2.79370947930641e-06,1.95271265751578e-07,1.28596028325993e-05,8.16596791420462e-07,2.92234208109515e-06,3.73696416859909e-06,1.19010603709139e-06,6.4705872031051e-06,3.90689215016986e-06,2.74986774301165e-06,-1.64630105941132e-06,5.32339840530695e-06,7.12686408483785e-06,-9.13211910461552e-08,-1.56243307991423e-06,6.17448956061146e-06,1.62153748671101e-06,8.58098573575646e-06,1.93878736404872e-06,-5.34788932026116e-06,1.06661641524384e-05,-8.74549573781629e-06,5.57672745728636e-06,3.53855010085367e-06,-6.88975439952368e-05,-5.41274160143203e-05,-7.83479379154817e-06,7.18729745423594e-05,0.000181088396866322,-2.48129223174376e-05,-0.000121755696341451,-5.47282763425511e-05,-0.000115246986754743,3.32734402361325e-06,3.26471062478032e-05,-5.18245022011694e-06,-5.43251256571439e-06,-0.00020816783526731,2.94079529119489e-05,-3.27929896586641e-05,-3.10283931146076e-06,0.000130724777301662,4.4373286630264e-08,-1.61570451413611e-07,4.63062826410493e-07,5.73723093567443e-08,5.95541257325412e-07,-9.8697577532234e-08,2.30262369743113e-07,-3.50243378857589e-07,-1.21493994688986e-07,4.90416640210007e-07,4.83036597566941e-05,-5.05802831983103e-05,-9.84120436991887e-05,0.00016864065219205,-0.000266963183647814,0.000134143770129312,0.000159641391555379,6.26259898037618e-05,-2.41609283730486e-05,-2.37814226265124e-05,-2.54100983211508e-07,0.000367344547056912,-0.00425360336670669,0.000534185720271075,-0.000829536842831022,1.46472140799222e-05,-0.000167507552840784,3.33069502748499e-05
"east_of_england","beta1",-7.06354272677964e-06,-0.000209227659319038,-2.75280978888164e-05,1.62996003346664e-06,1.94595819393659e-05,-5.62925350363933e-06,-1.11327801910278e-05,1.60051973109421e-05,-1.38863707352066e-05,1.25867546803525e-05,-8.8448843526094e-06,1.82340821386023e-07,-2.86668174464821e-06,4.91724733852909e-06,-2.27387696286086e-06,-5.09376174211826e-05,3.717505219275e-06,-4.5531441490291e-06,-7.06851554470308e-06,-6.42587844747091e-06,2.99314243615742e-06,-7.28483151700654e-07,-5.43558706889106e-06,3.12059570957917e-06,-1.16114289969347e-05,8.73381181948431e-06,2.87837351417472e-06,-6.31801107150306e-06,-1.04434943952414e-06,-3.26433809004531e-07,1.4235078708991e-06,-5.63392088374571e-06,1.69445635651279e-06,8.69680734455067e-06,-8.80802516122996e-07,3.69727181908416e-06,-1.35525821664906e-05,8.78522405430994e-06,-6.62793336852972e-06,5.47905782076975e-06,-0.000394051492662372,-0.000258179891741267,-0.000125325941229868,-0.000207679106903248,0.000212303214429813,-0.000112769858114037,-0.000465400700228998,3.01813258749781e-05,-0.000227796523248204,-0.000104889918090077,5.1853484689091e-06,-6.8150933893378e-06,3.77989616773985e-05,1.33240595564457e-05,0.000248258313883922,5.57426651929589e-06,9.22659887495548e-05,0.000480460663164685,1.87100771857532e-07,-2.88144021057461e-07,-1.10282133038143e-06,-2.38079879497994e-07,1.29253324529694e-06,-2.79888298228815e-07,8.18532833140197e-07,-8.32544370641532e-07,-3.54137455165299e-07,-2.3019013040677e-07,-0.000337141120578889,0.000279452946726863,-0.000212035422394215,-0.000190751996793439,0.000247854205358502,-0.000138463163134208,7.71783991967067e-05,-0.000994911180427794,0.000380891614245125,4.98537378696795e-06,-8.56876539631615e-08,-0.00236384811326641,0.000533012268816428,-0.000376831480523773,0.00608212808619747,-7.50453651964466e-06,2.7611674552546e-05,-4.64013357544045e-06
"east_of_england","beta10",-2.09527590133683e-05,-0.000301476601890823,7.46659293954436e-06,-2.5805675590331e-06,-5.62925350363933e-06,2.12981823143844e-05,-1.85420280206465e-05,9.25821402053001e-07,4.29389337603731e-06,-2.83709982280685e-06,4.35995129509058e-06,-2.95038306394298e-08,1.04322235125131e-06,-3.35128377174723e-06,5.37245863430165e-06,1.66945935092415e-05,-6.18015478723434e-06,2.27077072138805e-06,7.11992125503293e-07,9.09080449399985e-07,-6.78169962048048e-06,3.79730252599917e-06,-3.01235168088573e-06,-1.39029745010126e-06,1.51450932976832e-06,-7.07356339061058e-06,-3.70962597738003e-07,-7.71021044608553e-08,-1.13624393861897e-06,-7.67399354320045e-07,3.8294313104289e-06,-3.99435283352382e-06,4.70905621862605e-06,-2.62876928252503e-05,1.19275277227894e-06,-1.77537284486057e-06,2.61070511618786e-06,1.62932318205476e-06,3.58683156379421e-06,-2.02300090735973e-05,0.000225602376675011,0.000200376980662264,4.91449770973153e-05,2.07797002757339e-05,-0.000181692948542141,2.20176506594856e-05,0.000621764567840375,-8.56809143442005e-05,-6.60502686724546e-05,0.0001007626993655,0.000126967973007101,1.67029253690438e-05,-3.10652632145125e-05,-9.18119313935004e-05,-0.000113804902935234,-1.74329902793116e-05,-4.23285316976798e-05,-0.000263798238770033,5.37808389161005e-07,1.12170933373263e-07,-2.39379052718132e-07,2.42009220264584e-07,-2.28496922213219e-06,2.12106991312711e-07,-5.9842151916532e-07,3.30494232746074e-07,3.68995780056581e-07,-1.02400313723341e-06,1.82068989129766e-05,0.000106623004806797,0.000170977101874662,2.68462007805565e-05,0.000349141188987761,-4.57771526759093e-05,-8.96379402145055e-05,0.000393140656398833,-0.000151519012480288,9.44577489418666e-05,-1.17961301794747e-08,0.00160134288737359,0.00322629866533327,0.000401061556776856,-0.00177280139385164,9.51525812778257e-06,5.99517431249598e-05,-4.88596986189541e-05
"east_of_england","beta11",3.18287116620311e-05,0.000356437503051005,6.58138395413566e-06,9.14991241572998e-08,-1.11327801910278e-05,-1.85420280206465e-05,3.63921762778808e-05,-2.00182046389703e-05,1.01380275828002e-05,-1.14909574355026e-05,4.75367031773183e-06,6.84170625039941e-08,7.43797174750022e-07,-1.06718390359341e-06,-2.12982900005315e-06,4.69683586765227e-05,1.6810394041943e-06,2.24031877504812e-06,2.87304234907674e-06,3.31287499864508e-06,3.24767454465143e-06,-4.84366912981362e-06,7.74677129250747e-06,-2.1386593594518e-06,5.91843285946062e-06,-1.94095700894899e-06,-2.96936932770989e-06,5.63177835883953e-06,-1.56395422095874e-06,4.76888799454192e-08,-5.22082390323545e-06,8.0050444895044e-06,-9.9365247392477e-06,2.1220689693148e-05,-9.98184816157371e-07,5.12154765643155e-09,8.35464661958798e-06,-7.7038123051229e-06,1.65518731071362e-06,1.59252792011458e-05,0.000184105704829566,3.9603424102303e-05,6.24272463383145e-05,0.000184481881535795,8.59930177201459e-06,9.08195159701285e-05,4.66339449736692e-05,3.99200140392368e-05,0.000387011752647459,-1.49257006121864e-05,-0.000170079936925349,-1.86325405703137e-05,-1.55625562822776e-05,3.37879407554885e-05,-0.000120581738535516,1.82520832477311e-05,-4.68393704772413e-05,-0.000240613747082922,-7.14162970428374e-07,1.90445513365645e-07,1.11272149481164e-06,2.65848265280597e-08,8.5841999548666e-07,-2.84222868293682e-08,-1.17238851398152e-07,4.72299745537838e-07,-7.14008348049838e-08,1.309500058564e-06,0.000313534842477111,-0.000294048750809352,-3.66029808352098e-05,0.000145947457145618,-0.000561642973044608,0.000185031795669059,8.35879349949347e-05,0.000601470543982884,-0.000273409096264432,-0.000127262764255045,-3.39307377220697e-07,0.000585201322514542,0.000153304558159466,-0.000479718859732396,-0.00320016421088851,5.57972991936581e-06,-3.56904611002969e-05,6.13002607824772e-05
"east_of_england","beta12",-2.77964555854478e-05,-0.000238444651173108,-2.39052474988363e-05,-1.47826848424094e-07,1.60051973109421e-05,9.25821402053001e-07,-2.00182046389703e-05,2.20605365682284e-05,-1.683384971534e-05,1.60555736539349e-05,-1.04165190593594e-05,6.06707746681782e-07,-3.11138984697293e-06,6.01908590480532e-06,-4.83393056165346e-06,-5.37868408712224e-05,4.23219013690483e-06,-6.0316049328345e-06,-4.39990914705318e-06,-7.49927810234584e-06,2.25870259102757e-06,-9.51761508270818e-07,-5.6564965441177e-06,1.29540900782564e-06,-8.91461307435318e-06,7.16433971296467e-06,3.34743496282619e-06,-8.30174049786673e-06,2.97352600058873e-07,4.89093417776135e-07,1.73583666156956e-06,-6.76298956262003e-06,5.91118985303007e-06,-4.10208774465813e-06,-8.80841024563398e-07,4.22024990271214e-06,-1.39498244515908e-05,8.79119047826196e-06,-4.38176170519464e-06,-2.0773570709106e-06,-0.000317770824757391,-0.000118949070074124,-8.22880396739277e-05,-0.000235654422105458,0.000156696723882697,-5.86854638489193e-05,-0.000466245435571331,3.78753287001281e-05,-0.000245507229864047,-0.000113919193060581,3.34333807097724e-05,8.04770149470705e-06,3.10466181602671e-05,8.26655511781666e-05,0.000218200062151353,3.64027579082846e-06,7.82906254253712e-05,0.000411203478669593,1.17818546575935e-07,-2.17952222292213e-07,-9.77212244132225e-07,-3.4695648601597e-07,1.07116680928066e-06,1.01825302057874e-09,6.43821300733459e-07,-6.51295650191175e-07,-2.9465122267203e-07,-6.37879648077286e-07,-0.000504846634399652,2.71814716618829e-05,-0.00011951295315206,-0.000120137915820677,0.000397985306725261,-0.000151915468202276,-5.55492356446434e-05,-0.000904389513569658,0.000389726965381777,6.61167866852295e-05,2.64207429903084e-07,-0.00155348922868711,-0.000454408761924306,0.00016893681054719,0.00484726474804003,-9.9574766159261e-06,4.53333574642543e-05,-2.82086897916859e-05
"east_of_england","beta13",1.81839034106644e-05,0.000189343648587897,2.05527502864193e-05,5.91654986722682e-07,-1.38863707352066e-05,4.29389337603731e-06,1.01380275828002e-05,-1.683384971534e-05,1.52323705488406e-05,-1.38068715328812e-05,9.92054858951259e-06,-4.59024104491824e-07,3.36087069406212e-06,-5.94831538800474e-06,5.86016599855335e-06,4.49378003716028e-05,-5.00222306879065e-06,6.23574248719873e-06,5.58207247370805e-06,6.75910132096214e-06,-2.76628588746213e-06,2.47702643808317e-06,4.06304383747422e-06,4.10196973624883e-08,9.17731429112749e-06,-7.62638127154094e-06,-3.48777183140495e-06,7.87128671328781e-06,9.99256733355084e-07,6.12934118801926e-07,-3.24598956456313e-07,6.58345519350872e-06,-2.97860968076562e-06,-2.41051196558428e-06,1.75653156016433e-06,-5.21222627615956e-06,1.39781303701656e-05,-7.42889713819106e-06,4.12445980042464e-06,-2.6215821871596e-06,0.000289881369607639,0.000165200640855381,8.33209084012691e-05,0.000171201689237966,-0.000141038389969705,6.59756994489267e-05,0.000526609052202319,-5.2378443548524e-05,0.000177131310171072,0.000118292925619014,2.31021326175331e-05,4.48095252273272e-06,-3.52742469212895e-05,-0.000129465094727408,-0.000200511928393821,-1.3344393147943e-05,-6.91371550250973e-05,-0.000415655308215688,7.55579114190608e-08,3.08648863012454e-07,9.1272773161737e-07,3.98112765565071e-07,-1.5834162250487e-06,1.26099954326102e-07,-6.83125159416273e-07,5.78613982755345e-07,4.14388152053784e-07,2.41330397861842e-07,0.000476038982997498,-4.04049443145146e-05,0.000155228741610913,9.75289868639532e-05,-0.000285066849179126,0.00015390428411988,5.75927202626021e-05,0.000798848340612618,-0.000349721558466336,-2.37810663677144e-05,-1.18541675727056e-07,0.00124282661596355,-0.000139835938761258,-0.000338727936994618,-0.00456933536163033,1.38969145324725e-06,-4.75025674620895e-05,-6.14870062943768e-06
"east_of_england","beta14",-1.49642839819885e-05,-0.000163347353559927,-1.87307666808068e-05,9.5326210591577e-07,1.25867546803525e-05,-2.83709982280685e-06,-1.14909574355026e-05,1.60555736539349e-05,-1.38068715328812e-05,1.50700905656828e-05,-9.70275360835728e-06,9.43187644200151e-07,-2.71089670592766e-06,5.92625577626034e-06,-4.5536214927974e-06,-4.75616138828088e-05,4.46109423688613e-06,-4.95653890464893e-06,-3.88414533485379e-06,-5.84589842896953e-06,2.84897468426087e-06,-1.42244971702509e-06,-2.91833652249598e-06,-5.12825648321213e-07,-6.11799516489894e-06,7.07293430514837e-06,3.53179776585799e-06,-6.18633832535142e-06,3.54919875921186e-07,3.32831470091508e-07,-3.18566806785086e-08,-4.1570522899731e-06,2.94244788866803e-06,4.31889913217864e-06,-1.49012616816087e-06,4.24002613442013e-06,-1.22163541431967e-05,6.60460537910271e-06,-3.14850974057548e-06,5.82023022242807e-07,-0.000229277324518363,-0.000129750600694606,-6.8303103004045e-05,-0.000151425050253655,0.000153221950254044,-5.8970593390617e-05,-0.000523850014011514,8.39956063252278e-05,-0.000201283632181485,-9.32992493167139e-05,-4.27666847693227e-06,5.08040719636816e-06,3.70094393358086e-05,0.000142633736419985,0.00017935219503838,-1.5025709157483e-06,6.89465597612475e-05,0.000339589326920012,-4.23409959853492e-08,-1.62805196525847e-07,-7.97710753775485e-07,-3.01240204648712e-07,1.29999306288849e-06,-1.44630122177337e-07,6.68263594879315e-07,-5.95967129569226e-07,-3.96869526597382e-07,-2.90137217297512e-07,-0.000398374494019195,1.95698126061462e-05,-0.000141195662399184,-9.99204432351315e-05,0.000234503834683547,-0.000143137681854405,-6.12795757778086e-05,-0.000795488402930893,0.000329746169896686,4.81969723751355e-05,1.85213087151316e-07,-0.00162096230455494,-0.000831807849176231,0.000103124563746603,0.00401708111051568,-2.38002142682818e-05,3.77589551565797e-05,-4.24426231914467e-06
